Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784013989030,4056,4056,4056,4056,4056,4056,4056,4056,55.32701873779297,55.411720275878906,55.150245666503906,55.00885009765625,54.883323669433594,54.94586944580078,55.36370849609375,55.48036193847656,55.261199951171875,55.421905517578125,55.53345489501953,55.51032257080078,54.99647521972656,55.45862579345703,0,50,0,0,0,50,0,0,7.382457256317139,8589934592,2147483648,5769035776,1236992000
204,1784013989031,4056,4056,4056,4056,4056,4056,4056,4056,55.32701873779297,55.411720275878906,55.150245666503906,55.00885009765625,54.883323669433594,54.94586944580078,55.36370849609375,55.48036193847656,55.261199951171875,55.421905517578125,55.53345489501953,55.51032257080078,54.99647521972656,55.45862579345703,100,0,0,0,0,0,0,0,7.382457256317139,8589934592,2147483648,5770018816,1236992000
201,1784013989236,4056,4056,4056,4056,4056,4056,4056,4056,55.34916687011719,55.443603515625,54.93589782714844,54.867286682128906,54.669837951660156,54.84074401855469,55.430076599121094,55.56824493408203,55.32374572753906,55.541229248046875,55.68428039550781,55.48954772949219,54.82972717285156,55.307395935058594,19.047618865966797,10,9.523809432983398,0,20,20,15.000000953674316,5,7.382457256317139,8589934592,2147483648,5770018816,1236992000
202,1784013989438,4056,4056,4056,4056,4056,4056,4056,4056,55.34916687011719,55.443603515625,54.93589782714844,54.867286682128906,54.669837951660156,54.84074401855469,55.430076599121094,55.56824493408203,55.32374572753906,55.541229248046875,55.68428039550781,55.48954772949219,54.82972717285156,55.307395935058594,15.789472579956055,10,5,0,19.047618865966797,20,19.047618865966797,10,7.382457256317139,8589934592,2147483648,5770018816,1236992000
203,1784013989641,4056,4056,4056,4056,4056,4056,4056,4056,55.34916687011719,55.443603515625,54.93589782714844,54.867286682128906,54.669837951660156,54.84074401855469,55.430076599121094,55.56824493408203,55.32374572753906,55.541229248046875,55.68428039550781,55.48954772949219,54.82972717285156,55.307395935058594,28.571430206298828,20,10,4.761904716491699,25,14.285715103149414,15.000000953674316,13.636363983154297,4.295108795166016,8589934592,2147483648,5770018816,1236992000
202,1784013989845,4056,4056,4056,4056,4056,4056,4056,4056,55.34916687011719,55.443603515625,54.93589782714844,54.867286682128906,54.669837951660156,54.84074401855469,55.430076599121094,55.56824493408203,55.32374572753906,55.541229248046875,55.68428039550781,55.48954772949219,54.82972717285156,55.307395935058594,60.000003814697266,40,23.809524536132813,14.285715103149414,19.047618865966797,15.000000953674316,15.000000953674316,15.000000953674316,4.295108795166016,8589934592,2147483648,5808504832,1236992000
200,1784013990048,4056,4056,4056,4056,4056,4056,4056,4056,55.34916687011719,55.443603515625,54.93589782714844,54.867286682128906,54.669837951660156,54.84074401855469,55.430076599121094,55.56824493408203,55.32374572753906,55.541229248046875,55.68428039550781,55.48954772949219,54.82972717285156,55.307395935058594,31.57894515991211,30.000001907348633,25,10,15.000000953674316,10.526315689086914,15.000000953674316,5.263157844543457,4.295108795166016,8589934592,2147483648,5729320960,1236992000
204,1784013990248,4056,4056,4056,4056,4056,4056,4056,4056,55.045921325683594,54.99317169189453,54.89485168457031,54.88330078125,54.627464294433594,54.83930206298828,55.12371826171875,55.256500244140625,55.00115203857422,55.040863037109375,55.143104553222656,55.09002685546875,54.79100799560547,55.29595947265625,40,33.333335876464844,21.052631378173828,15.789472579956055,10.526315689086914,19.047618865966797,19.047618865966797,5,4.295108795166016,8589934592,2147483648,5748162560,1236992000
202,1784013990454,4056,4056,4056,4056,4056,4056,4056,4056,55.045921325683594,54.99317169189453,54.89485168457031,54.88330078125,54.627464294433594,54.83930206298828,55.12371826171875,55.256500244140625,55.00115203857422,55.040863037109375,55.143104553222656,55.09002685546875,54.79100799560547,55.29595947265625,23.809524536132813,5.263157844543457,4.761904716491699,4.545454502105713,14.285715103149414,14.285715103149414,4.761904716491699,14.285715103149414,4.295108795166016,8589934592,2147483648,5748162560,1236992000
204,1784013990657,4056,4056,4056,4056,4056,4056,4056,4056,55.045921325683594,54.99317169189453,54.89485168457031,54.88330078125,54.627464294433594,54.83930206298828,55.12371826171875,55.256500244140625,55.00115203857422,55.040863037109375,55.143104553222656,55.09002685546875,54.79100799560547,55.29595947265625,45,57.142860412597656,15.789472579956055,5.263157844543457,23.809524536132813,14.285715103149414,10.526315689086914,10,5.2047200202941895,8589934592,2147483648,5748162560,1236992000
