Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784035265520,4056,4056,4056,4056,4056,4056,4056,4056,50.21388244628906,50.40275573730469,50.267486572265625,50.64698791503906,50.33629608154297,50.384178161621094,50.273414611816406,50.47026824951172,50.458595275878906,50.48991394042969,50.5693359375,50.54449462890625,49.957733154296875,50.40660858154297,100,100,100,100,0,50,0,0,3.277604103088379,8589934592,2147483648,6052429824,596049920
204,1784035265520,4056,4056,4056,4056,4056,4056,4056,4056,50.21388244628906,50.40275573730469,50.267486572265625,50.64698791503906,50.33629608154297,50.384178161621094,50.273414611816406,50.47026824951172,50.458595275878906,50.48991394042969,50.5693359375,50.54449462890625,49.957733154296875,50.40660858154297,100,100,NaN,100,0,0,0,0,3.277604103088379,8589934592,2147483648,6053822464,596049920
201,1784035265726,4056,4056,4056,4056,4056,4056,4056,4056,50.21388244628906,50.40275573730469,50.267486572265625,50.64698791503906,50.33629608154297,50.384178161621094,50.273414611816406,50.47026824951172,50.458595275878906,50.48991394042969,50.5693359375,50.54449462890625,49.957733154296875,50.40660858154297,100,100,100,100,0,5,0,0,3.277604103088379,8589934592,2147483648,6075711488,596049920
204,1784035265928,4056,4056,4056,4056,4056,4056,4056,4056,51.23814392089844,51.43891143798828,50.76051330566406,50.96638488769531,50.842864990234375,50.889892578125,51.392059326171875,51.62999725341797,51.497337341308594,51.4937744140625,51.63702392578125,51.4849853515625,50.74372100830078,51.15324401855469,90.47618865966797,85.71428680419922,85,80,0,4.545454502105713,0,0,3.277604103088379,8589934592,2147483648,6010355712,596049920
199,1784035266133,4056,4056,4056,4056,4056,4056,4056,4056,51.23814392089844,51.43891143798828,50.76051330566406,50.96638488769531,50.842864990234375,50.889892578125,51.392059326171875,51.62999725341797,51.497337341308594,51.4937744140625,51.63702392578125,51.4849853515625,50.74372100830078,51.15324401855469,100,100,100,100,9.523809432983398,0,4.761904716491699,0,3.277604103088379,8589934592,2147483648,6112755712,596049920
200,1784035266334,4056,4056,4056,4056,4056,4056,4056,4056,51.23814392089844,51.43891143798828,50.76051330566406,50.96638488769531,50.842864990234375,50.889892578125,51.392059326171875,51.62999725341797,51.497337341308594,51.4937744140625,51.63702392578125,51.4849853515625,50.74372100830078,51.15324401855469,95,100,95.23809814453125,100,5,0,0,9.523809432983398,5.102128505706787,8589934592,2147483648,6129942528,596049920
203,1784035266534,4056,4056,4056,4056,4056,4056,4056,4056,51.23814392089844,51.43891143798828,50.76051330566406,50.96638488769531,50.842864990234375,50.889892578125,51.392059326171875,51.62999725341797,51.497337341308594,51.4937744140625,51.63702392578125,51.4849853515625,50.74372100830078,51.15324401855469,100,100,100,95.23809814453125,0,0,0,0,5.102128505706787,8589934592,2147483648,6128975872,596049920
204,1784035266739,4056,4056,4056,4056,4056,4056,4056,4056,51.23814392089844,51.43891143798828,50.76051330566406,50.96638488769531,50.842864990234375,50.889892578125,51.392059326171875,51.62999725341797,51.497337341308594,51.4937744140625,51.63702392578125,51.4849853515625,50.74372100830078,51.15324401855469,100,95.23809814453125,100,100,0,4.761904716491699,0,0,5.102128505706787,8589934592,2147483648,6140674048,596049920
204,1784035266944,4056,4056,4056,4056,4056,4056,4056,4056,50.61272430419922,50.91639709472656,50.480621337890625,50.870513916015625,50.576622009277344,50.70323944091797,50.79784393310547,50.97245788574219,50.979103088378906,50.7423095703125,50.938629150390625,50.868080139160156,50.33599853515625,50.748619079589844,100,100,100,100,9.523809432983398,5,9.523809432983398,0,5.102128505706787,8589934592,2147483648,6161203200,596049920
204,1784035267149,4056,4056,4056,4056,4056,4056,4056,4056,50.61272430419922,50.91639709472656,50.480621337890625,50.870513916015625,50.576622009277344,50.70323944091797,50.79784393310547,50.97245788574219,50.979103088378906,50.7423095703125,50.938629150390625,50.868080139160156,50.33599853515625,50.748619079589844,100,100,100,100,0,0,0,0,5.102128505706787,8589934592,2147483648,6109478912,596049920
