Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1784026392865,4056,4056,4056,4056,4056,4056,4056,4056,74.20336151123047,74.71913146972656,75.0281982421875,75.8897705078125,74.5698013305664,75.7896499633789,75.62700653076172,75.68943786621094,74.84416961669922,75.9851303100586,76.01115417480469,74.79277038574219,76.03807067871094,76.45832061767578,0,50,66.66667175292969,0,100,100,NaN,NaN,14.452133178710938,8589934592,2147483648,6142902272,526188544
204,1784026392865,4056,4056,4056,4056,4056,4056,4056,4056,74.20336151123047,74.71913146972656,75.0281982421875,75.8897705078125,74.5698013305664,75.7896499633789,75.62700653076172,75.68943786621094,74.84416961669922,75.9851303100586,76.01115417480469,74.79277038574219,76.03807067871094,76.45832061767578,100,100,100,100,100,NaN,66.66667175292969,50,14.452133178710938,8589934592,2147483648,6142902272,526188544
201,1784026393071,4056,4056,4056,4056,4056,4056,4056,4056,74.20336151123047,74.71913146972656,75.0281982421875,75.8897705078125,74.5698013305664,75.7896499633789,75.62700653076172,75.68943786621094,74.84416961669922,75.9851303100586,76.01115417480469,74.79277038574219,76.03807067871094,76.45832061767578,95.23809814453125,95,94.73684692382813,95.23809814453125,85,85.71428680419922,84.21052551269531,85,14.452133178710938,8589934592,2147483648,6142902272,526188544
202,1784026393273,4056,4056,4056,4056,4056,4056,4056,4056,74.20336151123047,74.71913146972656,75.0281982421875,75.8897705078125,74.5698013305664,75.7896499633789,75.62700653076172,75.68943786621094,74.84416961669922,75.9851303100586,76.01115417480469,74.79277038574219,76.03807067871094,76.45832061767578,95,90,85.71428680419922,80,71.42857360839844,75,71.42857360839844,70,15.814099311828613,8589934592,2147483648,6142902272,526188544
202,1784026393476,4056,4056,4056,4056,4056,4056,4056,4056,74.20336151123047,74.71913146972656,75.0281982421875,75.8897705078125,74.5698013305664,75.7896499633789,75.62700653076172,75.68943786621094,74.84416961669922,75.9851303100586,76.01115417480469,74.79277038574219,76.03807067871094,76.45832061767578,89.47368621826172,80.95238494873047,80,80,57.894737243652344,57.142860412597656,57.142860412597656,55,15.814099311828613,8589934592,2147483648,6142902272,526188544
200,1784026393679,4056,4056,4056,4056,4056,4056,4056,4056,74.20336151123047,74.71913146972656,75.0281982421875,75.8897705078125,74.5698013305664,75.7896499633789,75.62700653076172,75.68943786621094,74.84416961669922,75.9851303100586,76.01115417480469,74.79277038574219,76.03807067871094,76.45832061767578,100,100,100,100,52.38095474243164,47.619049072265625,44.4444465637207,45,15.814099311828613,8589934592,2147483648,6249185280,526188544
202,1784026393880,4056,4056,4056,4056,4056,4056,4056,4056,75.99712371826172,76.4648666381836,76.58009338378906,77.61599731445313,76.21173095703125,77.52561950683594,77.59078216552734,77.74136352539063,76.69839477539063,77.84349060058594,77.83633422851563,76.52926635742188,77.83375549316406,78.29322814941406,100,100,100,100,75,78.94737243652344,76.19047546386719,76.19047546386719,15.814099311828613,8589934592,2147483648,6326829056,526188544
201,1784026394083,4056,4056,4056,4056,4056,4056,4056,4056,75.99712371826172,76.4648666381836,76.58009338378906,77.61599731445313,76.21173095703125,77.52561950683594,77.59078216552734,77.74136352539063,76.69839477539063,77.84349060058594,77.83633422851563,76.52926635742188,77.83375549316406,78.29322814941406,95.45454406738281,100,100,100,90,85.71428680419922,89.47368621826172,85,15.814099311828613,8589934592,2147483648,6305136640,526188544
204,1784026394285,4056,4056,4056,4056,4056,4056,4056,4056,75.99712371826172,76.4648666381836,76.58009338378906,77.61599731445313,76.21173095703125,77.52561950683594,77.59078216552734,77.74136352539063,76.69839477539063,77.84349060058594,77.83633422851563,76.52926635742188,77.83375549316406,78.29322814941406,100,100,100,100,55,52.6315803527832,52.38095474243164,50,20.73405647277832,8589934592,2147483648,6305136640,526188544
199,1784026394490,4056,4056,4056,4056,4056,4056,4056,4056,75.99712371826172,76.4648666381836,76.58009338378906,77.61599731445313,76.21173095703125,77.52561950683594,77.59078216552734,77.74136352539063,76.69839477539063,77.84349060058594,77.83633422851563,76.52926635742188,77.83375549316406,78.29322814941406,100,100,100,100,50,47.619049072265625,42.85714340209961,47.619049072265625,20.73405647277832,8589934592,2147483648,6305136640,526188544
201,1784026394690,4056,4056,4056,4056,4056,4056,4056,4056,75.99712371826172,76.4648666381836,76.58009338378906,77.61599731445313,76.21173095703125,77.52561950683594,77.59078216552734,77.74136352539063,76.69839477539063,77.84349060058594,77.83633422851563,76.52926635742188,77.83375549316406,78.29322814941406,100,100,100,100,50,55,47.36842346191406,47.36842346191406,20.73405647277832,8589934592,2147483648,6355730432,526188544
200,1784026394892,4056,4056,4056,4056,4056,4056,4056,4056,75.30548858642578,75.72018432617188,75.95601654052734,76.89059448242188,75.55715942382813,76.82617950439453,76.73985290527344,76.95345306396484,75.96597290039063,77.01126861572266,76.97029113769531,75.86028289794922,76.99246978759766,77.37614440917969,100,100,95.45454406738281,95.23809814453125,57.142860412597656,55,55,55,20.73405647277832,8589934592,2147483648,6369378304,526188544
204,1784026395093,4056,4056,4056,4056,4056,4056,4056,4056,75.30548858642578,75.72018432617188,75.95601654052734,76.89059448242188,75.55715942382813,76.82617950439453,76.73985290527344,76.95345306396484,75.96597290039063,77.01126861572266,76.97029113769531,75.86028289794922,76.99246978759766,77.37614440917969,95,95,94.73684692382813,94.73684692382813,55,55,52.38095474243164,50,20.73405647277832,8589934592,2147483648,6382010368,526188544
201,1784026395298,4056,4056,4056,4056,4056,4056,4056,4056,75.30548858642578,75.72018432617188,75.95601654052734,76.89059448242188,75.55715942382813,76.82617950439453,76.73985290527344,76.95345306396484,75.96597290039063,77.01126861572266,76.97029113769531,75.86028289794922,76.99246978759766,77.37614440917969,95.23809814453125,95,95,95.23809814453125,55,50,52.38095474243164,47.619049072265625,19.29469108581543,8589934592,2147483648,6351749120,526188544
204,1784026395499,4056,4056,4056,4056,4056,4056,4056,4056,75.30548858642578,75.72018432617188,75.95601654052734,76.89059448242188,75.55715942382813,76.82617950439453,76.73985290527344,76.95345306396484,75.96597290039063,77.01126861572266,76.97029113769531,75.86028289794922,76.99246978759766,77.37614440917969,95,90.47618865966797,90,95,60.000003814697266,65,60.000003814697266,60.000003814697266,19.29469108581543,8589934592,2147483648,6358712320,526188544
204,1784026395704,4056,4056,4056,4056,4056,4056,4056,4056,75.30548858642578,75.72018432617188,75.95601654052734,76.89059448242188,75.55715942382813,76.82617950439453,76.73985290527344,76.95345306396484,75.96597290039063,77.01126861572266,76.97029113769531,75.86028289794922,76.99246978759766,77.37614440917969,95,95,95,95,90.47618865966797,90.47618865966797,90,90,19.29469108581543,8589934592,2147483648,6314049536,526188544
199,1784026395909,4056,4056,4056,4056,4056,4056,4056,4056,75.31185913085938,75.75251770019531,75.94696044921875,77.04835510253906,75.56627655029297,76.92781829833984,76.85650634765625,77.10643005371094,76.00137329101563,77.08103942871094,77.1026840209961,75.84810638427734,77.06208038330078,77.4831314086914,95.23809814453125,95.23809814453125,95.23809814453125,95,55,52.38095474243164,47.36842346191406,50,19.29469108581543,8589934592,2147483648,6307479552,526188544
