Delta,Time,CPU_FREQUENCY_0,CPU_FREQUENCY_1,CPU_FREQUENCY_2,CPU_FREQUENCY_3,CPU_FREQUENCY_4,CPU_FREQUENCY_5,CPU_FREQUENCY_6,CPU_FREQUENCY_7,CPU_TEMP_0,CPU_TEMP_1,CPU_TEMP_10,CPU_TEMP_11,CPU_TEMP_12,CPU_TEMP_13,CPU_TEMP_2,CPU_TEMP_3,CPU_TEMP_4,CPU_TEMP_5,CPU_TEMP_6,CPU_TEMP_7,CPU_TEMP_8,CPU_TEMP_9,CPU_USAGE_0,CPU_USAGE_1,CPU_USAGE_2,CPU_USAGE_3,CPU_USAGE_4,CPU_USAGE_5,CPU_USAGE_6,CPU_USAGE_7,SYSTEM_POWER (Watts),TOTAL_MEMORY,TOTAL_SWAP,USED_MEMORY,USED_SWAP
0,1783950734738,4056,4056,4056,4056,4056,4056,4056,4056,47.510719299316406,47.58030700683594,47.45813751220703,47.75212097167969,47.39646911621094,47.53099822998047,47.48011779785156,47.91533660888672,47.73388671875,47.64393615722656,47.805137634277344,47.83392333984375,47.19420623779297,47.61890411376953,0,0,0,0,0,0,0,0,4.259416103363037,8589934592,1073741824,5483642880,220069888
204,1783950734738,4056,4056,4056,4056,4056,4056,4056,4056,47.510719299316406,47.58030700683594,47.45813751220703,47.75212097167969,47.39646911621094,47.53099822998047,47.48011779785156,47.91533660888672,47.73388671875,47.64393615722656,47.805137634277344,47.83392333984375,47.19420623779297,47.61890411376953,100,50,0,0,100,0,0,0,4.259416103363037,8589934592,1073741824,5484003328,220069888
204,1783950734943,4056,4056,4056,4056,4056,4056,4056,4056,47.510719299316406,47.58030700683594,47.45813751220703,47.75212097167969,47.39646911621094,47.53099822998047,47.48011779785156,47.91533660888672,47.73388671875,47.64393615722656,47.805137634277344,47.83392333984375,47.19420623779297,47.61890411376953,14.285715103149414,15.000000953674316,4.761904716491699,0,19.047618865966797,10,14.285715103149414,35,4.259416103363037,8589934592,1073741824,5501255680,220069888
204,1783950735148,4056,4056,4056,4056,4056,4056,4056,4056,47.510719299316406,47.58030700683594,47.45813751220703,47.75212097167969,47.39646911621094,47.53099822998047,47.48011779785156,47.91533660888672,47.73388671875,47.64393615722656,47.805137634277344,47.83392333984375,47.19420623779297,47.61890411376953,9.523809432983398,0,0,0,0,0,0,100,4.259416103363037,8589934592,1073741824,5501206528,220069888
204,1783950735353,4056,4056,4056,4056,4056,4056,4056,4056,47.510719299316406,47.58030700683594,47.45813751220703,47.75212097167969,47.39646911621094,47.53099822998047,47.48011779785156,47.91533660888672,47.73388671875,47.64393615722656,47.805137634277344,47.83392333984375,47.19420623779297,47.61890411376953,0,0,0,0,0,0,0,100,3.345167398452759,8589934592,1073741824,5501190144,220069888
201,1783950735558,4056,4056,4056,4056,4056,4056,4056,4056,47.510719299316406,47.58030700683594,47.45813751220703,47.75212097167969,47.39646911621094,47.53099822998047,47.48011779785156,47.91533660888672,47.73388671875,47.64393615722656,47.805137634277344,47.83392333984375,47.19420623779297,47.61890411376953,0,9.090909004211426,0,4.761904716491699,0,0,0,100,3.345167398452759,8589934592,1073741824,5501353984,220069888
201,1783950735760,4056,4056,4056,4056,4056,4056,4056,4056,49.020484924316406,49.62200164794922,54.21417236328125,71.3893814086914,53.91954040527344,68.42891693115234,49.5103759765625,49.520164489746094,49.38361358642578,49.68473815917969,49.85041046142578,49.47594451904297,53.24681091308594,52.85655975341797,4.761904716491699,0,0,0,0,0,0,100,3.345167398452759,8589934592,1073741824,5501550592,220069888
204,1783950735961,4056,4056,4056,4056,4056,4056,4056,4056,49.020484924316406,49.62200164794922,54.21417236328125,71.3893814086914,53.91954040527344,68.42891693115234,49.5103759765625,49.520164489746094,49.38361358642578,49.68473815917969,49.85041046142578,49.47594451904297,53.24681091308594,52.85655975341797,0,0,0,0,0,0,0,100,3.345167398452759,8589934592,1073741824,5501616128,220069888
204,1783950736166,4056,4056,4056,4056,4056,4056,4056,4056,49.020484924316406,49.62200164794922,54.21417236328125,71.3893814086914,53.91954040527344,68.42891693115234,49.5103759765625,49.520164489746094,49.38361358642578,49.68473815917969,49.85041046142578,49.47594451904297,53.24681091308594,52.85655975341797,20,10,25,0,0,0,0,100,5.578243255615234,8589934592,1073741824,5444091904,220069888
204,1783950736371,4056,4056,4056,4056,4056,4056,4056,4056,49.020484924316406,49.62200164794922,54.21417236328125,71.3893814086914,53.91954040527344,68.42891693115234,49.5103759765625,49.520164489746094,49.38361358642578,49.68473815917969,49.85041046142578,49.47594451904297,53.24681091308594,52.85655975341797,4.761904716491699,0,0,0,0,0,0,100,5.578243255615234,8589934592,1073741824,5444091904,220069888
204,1783950736576,4056,4056,4056,4056,4056,4056,4056,4056,49.020484924316406,49.62200164794922,54.21417236328125,71.3893814086914,53.91954040527344,68.42891693115234,49.5103759765625,49.520164489746094,49.38361358642578,49.68473815917969,49.85041046142578,49.47594451904297,53.24681091308594,52.85655975341797,10,4.761904716491699,0,0,0,0,0,100,5.578243255615234,8589934592,1073741824,5513543680,220069888
204,1783950736781,4056,4056,4056,4056,4056,4056,4056,4056,49.72734069824219,50.39476013183594,56.02631378173828,76.38141632080078,55.66864776611328,72.95144653320313,49.97124481201172,49.915611267089844,50.033546447753906,50.586952209472656,50.80427551269531,50.399925231933594,54.64735412597656,54.15709686279297,0,0,0,0,0,0,0,100,5.578243255615234,8589934592,1073741824,5513478144,220069888
204,1783950736986,4056,4056,4056,4056,4056,4056,4056,4056,49.72734069824219,50.39476013183594,56.02631378173828,76.38141632080078,55.66864776611328,72.95144653320313,49.97124481201172,49.915611267089844,50.033546447753906,50.586952209472656,50.80427551269531,50.399925231933594,54.64735412597656,54.15709686279297,4.545454502105713,4.545454502105713,4.545454502105713,0,0,0,0,100,5.578243255615234,8589934592,1073741824,5491523584,220069888
204,1783950737191,4056,4056,4056,4056,4056,4056,4056,4056,49.72734069824219,50.39476013183594,56.02631378173828,76.38141632080078,55.66864776611328,72.95144653320313,49.97124481201172,49.915611267089844,50.033546447753906,50.586952209472656,50.80427551269531,50.399925231933594,54.64735412597656,54.15709686279297,0,0,0,0,0,0,0,100,10.493562698364258,8589934592,1073741824,5491523584,220069888
204,1783950737396,4056,4056,4056,4056,4056,4056,4056,4056,49.72734069824219,50.39476013183594,56.02631378173828,76.38141632080078,55.66864776611328,72.95144653320313,49.97124481201172,49.915611267089844,50.033546447753906,50.586952209472656,50.80427551269531,50.399925231933594,54.64735412597656,54.15709686279297,0,0,0,0,0,0,0,100,10.493562698364258,8589934592,1073741824,5491523584,220069888
204,1783950737601,4056,4056,4056,4056,4056,4056,4056,4056,49.72734069824219,50.39476013183594,56.02631378173828,76.38141632080078,55.66864776611328,72.95144653320313,49.97124481201172,49.915611267089844,50.033546447753906,50.586952209472656,50.80427551269531,50.399925231933594,54.64735412597656,54.15709686279297,19.047618865966797,15.000000953674316,9.523809432983398,5,4.545454502105713,0,0,100,10.493562698364258,8589934592,1073741824,5491949568,220069888
204,1783950737806,4056,4056,4056,4056,4056,4056,4056,4056,50.09465026855469,50.921058654785156,56.22240447998047,75.98954772949219,55.84614562988281,72.67505645751953,50.416526794433594,50.43711853027344,50.51593017578125,50.863677978515625,51.199302673339844,50.69049072265625,54.901824951171875,54.478546142578125,10,15.000000953674316,5,5,0,0,0,100,10.493562698364258,8589934592,1073741824,5492277248,220069888
204,1783950738011,4056,4056,4056,4056,4056,4056,4056,4056,50.09465026855469,50.921058654785156,56.22240447998047,75.98954772949219,55.84614562988281,72.67505645751953,50.416526794433594,50.43711853027344,50.51593017578125,50.863677978515625,51.199302673339844,50.69049072265625,54.901824951171875,54.478546142578125,28.571430206298828,25,23.809524536132813,22.72727394104004,0,0,0,100,10.493562698364258,8589934592,1073741824,5416321024,220069888
204,1783950738216,4056,4056,4056,4056,4056,4056,4056,4056,50.09465026855469,50.921058654785156,56.22240447998047,75.98954772949219,55.84614562988281,72.67505645751953,50.416526794433594,50.43711853027344,50.51593017578125,50.863677978515625,51.199302673339844,50.69049072265625,54.901824951171875,54.478546142578125,30.000001907348633,22.72727394104004,9.523809432983398,9.523809432983398,0,35,14.285715103149414,57.142860412597656,10.274099349975586,8589934592,1073741824,5416321024,220069888
204,1783950738421,4056,4056,4056,4056,4056,4056,4056,4056,50.09465026855469,50.921058654785156,56.22240447998047,75.98954772949219,55.84614562988281,72.67505645751953,50.416526794433594,50.43711853027344,50.51593017578125,50.863677978515625,51.199302673339844,50.69049072265625,54.901824951171875,54.478546142578125,40,20,10.526315689086914,5.263157844543457,0,100,0,0,10.274099349975586,8589934592,1073741824,5416321024,220069888
204,1783950738626,4056,4056,4056,4056,4056,4056,4056,4056,50.09465026855469,50.921058654785156,56.22240447998047,75.98954772949219,55.84614562988281,72.67505645751953,50.416526794433594,50.43711853027344,50.51593017578125,50.863677978515625,51.199302673339844,50.69049072265625,54.901824951171875,54.478546142578125,45,21.052631378173828,15.000000953674316,10,0,100,0,0,10.274099349975586,8589934592,1073741824,5545443328,220069888
